Measure,Year,TravelType,Reason,UNIT,Value
Number of Trips by Irish Residents,2018,Outbound,Business,Thousand,854.0
Number of Trips by Irish Residents,2018,Outbound,Visiting friends/relatives,Thousand,1884.0
Number of Trips by Irish Residents,2018,Outbound,Education and training,Thousand,111.0
Number of Trips by Irish Residents,2018,Outbound,Work/looking for work,Thousand,62.0
Number of Trips by Irish Residents,2018,Outbound,Sporting events,Thousand,326.0
Number of Trips by Irish Residents,2018,Outbound,Other reasons,Thousand,250.0
Number of Trips by Irish Residents,2019,Domestic,All reasons for journey,Thousand,11621.0
Number of Trips by Irish Residents,2019,Domestic,Holiday,Thousand,5819.0
Number of Trips by Irish Residents,2019,Domestic,Business,Thousand,551.0
Number of Trips by Irish Residents,2019,Domestic,Visiting friends/relatives,Thousand,3847.0
Number of Trips by Irish Residents,2019,Domestic,Education and training,Thousand,188.0
Number of Trips by Irish Residents,2019,Domestic,Work/looking for work,Thousand,159.0
Number of Trips by Irish Residents,2019,Domestic,Sporting events,Thousand,392.0
Number of Trips by Irish Residents,2019,Domestic,Other reasons,Thousand,665.0
Number of Trips by Irish Residents,2019,Outbound,All reasons for journey,Thousand,9350.0
Number of Trips by Irish Residents,2019,Outbound,Holiday,Thousand,5566.0
Number of Trips by Irish Residents,2019,Outbound,Business,Thousand,892.0
Number of Trips by Irish Residents,2019,Outbound,Visiting friends/relatives,Thousand,1936.0
Number of Trips by Irish Residents,2019,Outbound,Education and training,Thousand,148.0
Number of Trips by Irish Residents,2019,Outbound,Work/looking for work,Thousand,130.0
Number of Trips by Irish Residents,2019,Outbound,Sporting events,Thousand,368.0
Number of Trips by Irish Residents,2019,Outbound,Other reasons,Thousand,309.0
Number of Trips by Irish Residents,2020,Domestic,All reasons for journey,Thousand,7721.0
Number of Trips by Irish Residents,2020,Domestic,Holiday,Thousand,4155.0
Number of Trips by Irish Residents,2020,Domestic,Business,Thousand,243.0
Number of Trips by Irish Residents,2020,Domestic,Visiting friends/relatives,Thousand,2609.0
Number of Trips by Irish Residents,2020,Domestic,Other reasons,Thousand,715.0
Number of Trips by Irish Residents,2020,Outbound,All reasons for journey,Thousand,2365.0
Number of Trips by Irish Residents,2021,Domestic,All reasons for journey,Thousand,5663.0
Number of Trips by Irish Residents,2021,Domestic,Holiday,Thousand,3164.0
Number of Trips by Irish Residents,2021,Domestic,Business,Thousand,165.0
Number of Trips by Irish Residents,2021,Domestic,Visiting friends/relatives,Thousand,1880.0
Number of Trips by Irish Residents,2021,Domestic,Other reasons,Thousand,454.0
Number of Trips by Irish Residents,2021,Outbound,All reasons for journey,Thousand,2276.0
Number of Trips by Irish Residents,2021,Outbound,Holiday,Thousand,1080.0
Number of Trips by Irish Residents,2021,Outbound,Business,Thousand,171.0
Number of Trips by Irish Residents,2021,Outbound,Visiting friends/relatives,Thousand,742.0
Number of Trips by Irish Residents,2021,Outbound,Other reasons,Thousand,283.0
Number of Trips by Irish Residents,2022,Domestic,All reasons for journey,Thousand,13274.0
Number of Trips by Irish Residents,2022,Domestic,Holiday,Thousand,6620.0
Number of Trips by Irish Residents,2022,Domestic,Business,Thousand,528.0
Number of Trips by Irish Residents,2022,Domestic,Visiting friends/relatives,Thousand,4558.0
Number of Trips by Irish Residents,2022,Domestic,Other reasons,Thousand,1568.0
Number of Trips by Irish Residents,2022,Outbound,All reasons for journey,Thousand,8546.0
Number of Trips by Irish Residents,2022,Outbound,Holiday,Thousand,5385.0
Number of Trips by Irish Residents,2022,Outbound,Business,Thousand,502.0
Number of Trips by Irish Residents,2022,Outbound,Visiting friends/relatives,Thousand,2082.0
Number of Trips by Irish Residents,2022,Outbound,Other reasons,Thousand,576.0
Number of Trips by Irish Residents,2023,Domestic,All reasons for journey,Thousand,14309.0
Number of Trips by Irish Residents,2023,Domestic,Holiday,Thousand,6376.0
Number of Trips by Irish Residents,2023,Domestic,Business,Thousand,687.0
Number of Trips by Irish Residents,2023,Domestic,Visiting friends/relatives,Thousand,5728.0
Number of Trips by Irish Residents,2023,Domestic,Other reasons,Thousand,1518.0
Number of Trips by Irish Residents,2023,Outbound,All reasons for journey,Thousand,12633.0
Number of Trips by Irish Residents,2023,Outbound,Holiday,Thousand,7271.0
Number of Trips by Irish Residents,2023,Outbound,Business,Thousand,983.0
Number of Trips by Irish Residents,2023,Outbound,Visiting friends/relatives,Thousand,3530.0
Number of Trips by Irish Residents,2023,Outbound,Other reasons,Thousand,849.0
Number of Trips by Irish Residents,2024,Domestic,All reasons for journey,Thousand,16571.0
Number of Trips by Irish Residents,2024,Domestic,Holiday,Thousand,7120.0
Number of Trips by Irish Residents,2024,Domestic,Business,Thousand,921.0
Number of Trips by Irish Residents,2024,Domestic,Visiting friends/relatives,Thousand,6911.0
Number of Trips by Irish Residents,2024,Domestic,Other reasons,Thousand,1619.0
Number of Trips by Irish Residents,2024,Outbound,All reasons for journey,Thousand,13680.0
Number of Trips by Irish Residents,2024,Outbound,Holiday,Thousand,8270.0
Number of Trips by Irish Residents,2024,Outbound,Business,Thousand,974.0
Number of Trips by Irish Residents,2024,Outbound,Visiting friends/relatives,Thousand,3467.0
Number of Trips by Irish Residents,2024,Outbound,Other reasons,Thousand,968.0
Number of Nights by Irish Residents,2000,Domestic,All reasons for journey,Thousand,20703.0
Number of Nights by Irish Residents,2000,Domestic,Holiday,Thousand,11465.0
Number of Nights by Irish Residents,2000,Domestic,Business,Thousand,1672.0
Number of Nights by Irish Residents,2000,Domestic,Visiting friends/relatives,Thousand,5651.0
Number of Nights by Irish Residents,2000,Domestic,Other reasons,Thousand,1916.0
Number of Nights by Irish Residents,2000,Outbound,All reasons for journey,Thousand,35544.0
Number of Nights by Irish Residents,2000,Outbound,Holiday,Thousand,23883.0
Number of Nights by Irish Residents,2000,Outbound,Business,Thousand,3728.0
Number of Nights by Irish Residents,2000,Outbound,Visiting friends/relatives,Thousand,5123.0
Number of Nights by Irish Residents,2000,Outbound,Other reasons,Thousand,2810.0
Number of Nights by Irish Residents,2001,Domestic,All reasons for journey,Thousand,23207.0
Number of Nights by Irish Residents,2001,Domestic,Holiday,Thousand,13227.0
Number of Nights by Irish Residents,2001,Domestic,Business,Thousand,1778.0
Number of Nights by Irish Residents,2001,Domestic,Visiting friends/relatives,Thousand,5823.0
Number of Nights by Irish Residents,2001,Domestic,Other reasons,Thousand,2380.0
Number of Nights by Irish Residents,2001,Outbound,All reasons for journey,Thousand,37953.0
Number of Nights by Irish Residents,2001,Outbound,Holiday,Thousand,26786.0
Number of Nights by Irish Residents,2001,Outbound,Business,Thousand,3462.0
Number of Nights by Irish Residents,2001,Outbound,Visiting friends/relatives,Thousand,5175.0
Number of Nights by Irish Residents,2001,Outbound,Other reasons,Thousand,2530.0
Number of Nights by Irish Residents,2002,Domestic,All reasons for journey,Thousand,22222.0
Number of Nights by Irish Residents,2002,Domestic,Holiday,Thousand,12098.0
Number of Nights by Irish Residents,2002,Domestic,Business,Thousand,1633.0
Number of Nights by Irish Residents,2002,Domestic,Visiting friends/relatives,Thousand,6120.0
Number of Nights by Irish Residents,2002,Domestic,Other reasons,Thousand,2371.0
Number of Nights by Irish Residents,2002,Outbound,All reasons for journey,Thousand,40660.0
Number of Nights by Irish Residents,2002,Outbound,Holiday,Thousand,28353.0
Number of Nights by Irish Residents,2002,Outbound,Business,Thousand,3163.0
Number of Nights by Irish Residents,2002,Outbound,Visiting friends/relatives,Thousand,6415.0
Number of Nights by Irish Residents,2002,Outbound,Other reasons,Thousand,2730.0
Number of Nights by Irish Residents,2003,Domestic,All reasons for journey,Thousand,23616.0
